name,rules,Original Source(s),date,Place/Culture of Origin,Variation Notes
Achi,"1. Achi is played by two players, with four pieces each. It uses the same board as three men's morris, and pieces are placed on the points at which the lines connect. 2. The board starts empty, each player holding his four pieces in hand. 3. At first, each player in turn puts one piece on the board, at any vacant point. 4. Once all pieces are on the board, a player instead moves one of his pieces along a marked line to an adjacent empty point. 5. If a piece placed or moved as in rules 3 or 4 forms a row of three along a marked line (called a mill), the player who placed it so wins the game.",R. C. Bell (mid-20th century publication); http://www.cyningstan.com/game/107/achi,1979,Ghana,
Choko,"1. At the start of the game, the board is empty. 2. The player holding the pebbles goes first, after which the player with the sticks takes his turn, play then alternating between them. 3. Each player on his first turn must place a piece on any vacant square of the board. 4. In subsequent turns, a player may opt to place another piece if he has any left in hand, or instead to move a piece already on the board. 5. If one player places a piece, his opponent must then do the same, after which, the choice between placement and movement returns as described in rule 4. 6. A piece moves one square horizontally or vertically, to an adjacent square, which must be empty. 7. There are no diagonal moves in this game. 8. An enemy piece is captured by jumping over it and landing on the square beyond, which must be vacant. 9. The captured piece is removed from the board and takes no further part in the game. 10. Having captured a piece, the player then selects a second enemy piece and removes it from the board. 11. As with movement, diagonal captures are not allowed. 12. This game does not have multiple leaps as some other games do. 13. The game is finished when a player has captured all enemy pieces, in which case he is declared the winner. 14. If both players are reduced to three pieces or less, the game is declared a draw.",Cyningstan; http://www.cyningstan.com/game/344/choko,1879,West Africa,Played on a 5x5 board. Players have 12 pieces each. Traditionally played in sand with pebbles and sticks.
Dara,"1. The board, a grid of 5 rows of 6 playing spaces (known henceforth as squares), starts empty. 2. The players have twelve pieces each, one side black and the other white. 3. The players take turns to place a piece on any empty square, one at a time, black going first. 4. During this placement phase, it is not permitted to form a row of three pieces of one colour on the board. Diagonal rows have no significance, and are therefore allowed. 5. Once the placement phase is over, players take it in turns (black first) to move a piece from one square to an adjacent square. 6. Diagonal moves are not allowed. 7. A player is not allowed to form a row of four of his pieces. 8. If, when moving, a player forms a row of three pieces (excepting diagonals), he can capture any one of his opponent's pieces and remove it from the board. 9. If two lines of three are formed at once, still only one enemy piece may be removed. 10. If a player is reduced to two pieces, he loses and his opponent wins the game. 11. It is common to play a match, worth 10 points. A win is usually worth 1 point, unless the winner has lost no pieces, in which case it is worth 2. Some accounts mention variations: Rows of three or more are permitted during placement, but they do not count as captures. A player is permitted to form a row of four pieces during movement, but this does not count as a capture. One cannot form a row of three simply by moving the end piece from a row of four.",Cyningstan; http://www.cyningstan.com/game/148/dara; R. C. Bell,1950,"North Africa (Dakarkari people of Nigeria, Tamacheq people of the Sahara)",Played on a 5x6 grid. Variations exist regarding forming rows of three/four during placement and movement.
"Dogs and Jackals (also The Palm Tree Game, Shields, Hounds and Jackals)","Rules based on Jack Botermans reconstruction: Played by two players on a board with 59 holes, 5 pegged pieces each. Four casting sticks determine moves (marked sides up = score, all blank = 5). 1. Board empty, pieces in hand. 2. Player chooses a side. 3. First throw random. 4. Player throws casting sticks. 5. Score is marked sides up (or 5 if all blank). 6. Throwing 1 allows entering a piece at point 1 on player's side; then throw again. 7. Any throw (including 1) can move a piece in play along the course. 8. Pieces on points 10, 15, 20, or 25 block and cannot be passed. Jumping over other pieces is allowed. 9. No piece may land or enter an occupied point. 10. Piece landing at one end of a marked line immediately moves along it to the other end (forwards or backwards if possible). 11. No piece may move past point 30. 12. A usable throw must be used. Ending: 13. Piece on point 30 borne off on an exact throw of five. 14. Player can only bear off if all their pieces are in play. 15. First to bear off all five pieces wins. Variation for interaction: 16. Pieces continue past point 30 to opponent's point 1, bearing off from there. 17. If all pieces jammed, game is a draw.","Reconstructed rules by Jack Botermans, referenced on Cyningstan (http://www.cyningstan.com/game/250/dogs-and-jackals). Archaeological finds include a set by Lord Carnarvon (1932) dating 2000-1788 B.C.",-2000,"Ancient Egypt (also played in Palestine c. 1300 B.C., Assyrian empire after 700 B.C.)","Variation exists where pieces continue around the board to the opponent's starting point to bear off, introducing more player interaction."
Fanorona,"1. Played on a board of lines intersecting at 45 points. Two players, 22 pieces each, set up as per diagram. 2. White starts, turns alternate. 3. Move one piece along a marked line to an adjacent empty point. Diagonal moves are not available from every square. 4. Capture by approach: If a piece moves directly towards an enemy line (running in the same direction) and becomes adjacent, the enemy pieces are captured and removed. 5. Capture by withdrawal: If a piece moves directly away from an adjacent enemy line (running in the same direction), the enemy pieces are captured and removed. 6. If a move qualifies for both approach and withdrawal capture, player chooses one. 7. If a capture is possible, it must be made (player chooses if multiple options). 8. First move of the game: only one capture allowed. Subsequent moves: if the moved piece can move and capture again, it must continue doing so as long as further captures are available. 9. Multiple captures: each must be along a separate line; no sliding back and forth on the same line in a single move. 10. Winner: player whose opponent loses all pieces. Vela Game (second game in a pair, loser of first game is white and starts): 11. Winner of previous game cannot capture until sacrificing 17 of their pieces. 12. Loser of previous game captures only one enemy piece per turn (nearest in the line approached/withdrawn from). 13. After previous winner sacrifices 17 pieces, game continues per rules 4-10.","Cyningstan (http://www.cyningstan.com/game/127/fanorona); A Book of Historic Board Games, by Damian Gareth Walker. Game dates to 1680.",1680,Madagascar,Based loosely on Alquerque. Has a variation called the Vela game with specific rules for the second game in a pair.
Gabata,"1. Board: three rows of six holes (optional storage hole at each end). Each player’s territory: nearest row + 3 rightmost holes in middle row. 2. Start: 3 pieces in each hole. 3. Ownership: Each player owns 6 holes in nearest row, 3 rightmost in middle row. 4. Sowing: Anticlockwise. 5. Initial Race: Simultaneously, players pick up pieces from their first hole, sow one in each subsequent hole. 6. Continue Race: Lift pieces from last hole sown into, continue sowing. 7. Race End: Continues until one player drops last piece into an empty hole. Game proper begins. 8. Turns: Player who ended race goes first, then alternate. 9. Move: Select own hole, sow pieces. 10. If last piece drops into occupied hole: pick up all pieces from that hole, continue sowing. 11. If last piece drops into empty hole: capture enemy pieces in same column. If no capture, turn ends. 12. If capture occurs: continue sowing from hole where last piece was dropped. 13. End of turn: opponent plays. 14. One player’s side empty: opponent captures all pieces on their own side. 15. Win: One player captures all pieces. 16. Both capture pieces (reloading): 17. Weaker player (least captures) reloads first: leftmost hole in nearest row, 3 pieces/hole. 18. If last hole has <3 pieces, stronger player makes it up to 3 from own store. 19. Stronger player fills own side, matching weaker player's piece count; keeps remaining pieces in store. 20. Game continues from rule 9.","J. T. Bent, 'Sacred City of the Ethiopians' (1893); Richard Pankhurst, 'Ethiopia Observer' (1971); Cyningstan (http://www.cyningstan.com/game/147/gabata)",1863,Ethiopia,Mancala family game. Involves an initial race phase. Specific rules for reloading if both players capture pieces.
Hyena (l'ib el merafib),"1. Board: Spiral-shaped, ~80 spaces. Start (outside) = village, Center = well. 2. Players: 2+, 1 piece (mother) each. Start in village. 3. Movement: 3 casting sticks (marked one side). Score = marked sides up; all blank = 6. Roll of 1 = 'taba'. 4. Beginner: Random. 5. Turns: Player throws sticks repeatedly until a 2 is thrown. 6. Moving from Village: Mother cannot move before player throws a taba. Subsequent throws dictate movement. 7. Tabas: Once out of village, a taba throw doesn't move mother; player counts tabas (currency). 8. Sharing Spaces: Allowed. 9. Reaching Well (Exact Throw): Must be exact. Shortfall can be made up by paying 1 taba per extra space. If throw overshoots, it's lost. 10. Passing Turn: After throwing a 2 and moving, pass sticks. 11. At Well: Spend 2 tabas to wash clothes. If not enough tabas, wait and gather via throws. Throws of 2, 3, 6 can be noted for return journey. 12. Return Journey: Pay 2 tabas to start. Gather tabas if needed. 13. Reaching Village (Return): Exact throw, option to spend tabas (as per rule 9). 14. Winning & Hyena: First mother back to village wins. Player now controls hyena. Play continues for others. 15. Hyena Movement: Leaves village on payment of 2 tabas. Moves double mother's rate (4, 6, or 12 spaces). Collects tabas like mothers. 16. Hyena at Well: Pays TEN tabas for a drink before returning. 17. Hyena Captures: If hyena overtakes a mother on return journey, mother is eaten (greater loss for player). 18. Lesser Loss: Players whose mothers return safely after the first suffer lesser loss. Clarifications: Bell doesn't clarify if hyena pays 1 taba per 1 or 2 extra spaces at well/village (suggested 1 per space). If throw carries mother past well/village, throw is lost.","Recorded by R. Davies (1925); Rules paraphrased from R. C. Bell, 'Board and Table Games'; Cyningstan (http://www.cyningstan.com/game/1170/hyena)",1925,Sudan,"Game of little strategy, for young children. Involves collecting 'tabas' as currency. A 'hyena' piece is introduced after the first player wins."
Mancala (Family of Games),"Mancala is a family of board games with hundreds of variants. General principles: Played on a board with a grid of holes (usually 2, 3, or 4 rows). Pieces are seeds, beans, or stones. Players control a half of the board. Movement involves picking up all pieces in a hole and sowing them one by one in adjacent holes along a set course. Turns can involve multiple 'laps'. Captures vary by game: e.g., from the hole the last piece is dropped into, or from opponent's holes opposite one's own, often determined by the number of pieces in the last-sown-into hole. Specific rules vary greatly between individual Mancala games.",Cyningstan (http://www.cyningstan.com/game/259/mancala) - General description. Specific variants have their own detailed rules and histories.,-5870,"Africa, Middle East, South-East Asia (widespread with many regional variations)","This is a family of games. Specific games like Wari, Bao, Kalah, Oware, Gabata (already documented) are individual variants with unique rule sets that would be separate entries."
Mefuvha,"1. Board: Four ranks of up to 28 holes (usually at least 16/row). 218 pieces start. Storage hole for captures (sometimes 4 for convenience). 2. Setup: All but four holes have 2 pieces each. Each player’s front left hole is empty; adjacent hole has 1 piece. 3. Players: Two, sit opposite, own two nearest rows. 4. Start: Random. 5. Turn Start: Select own hole with 2+ pieces (loaded). 6. Sowing (Lap): Lift all pieces, drop one in each subsequent hole anticlockwise on own side until hand empty. 7. Multiple Laps: If last piece lands in an occupied hole (before dropping), lift all from that hole, continue sowing. Repeat until last piece lands in an empty hole. 8. No Loaded Holes: May lift a singleton (only piece in its hole). 9. Singleton Move: Can only be played into an empty hole. 10. End Turn: After final lap and captures, pass to opponent. 11. Capture Condition: If final lap ends on player’s front row AND opponent has pieces in adjacent square in their front row. 12. Capture Action: All opponent’s pieces from that hole are captured. 13. Additional Capture (Back Row): If opponent had pieces in hole behind (their back row), those are also captured. 14. Bonus Capture: Player may select one other hole from opponent’s side and take those pieces. (Variation: this rule is sometimes not allowed). 15. Game End: One player has no pieces on their side. Opponent wins.",Cyningstan (http://www.cyningstan.com/game/258/mefuvha). Described as a four-rank mancala game from the northern Transvaal.,1931,Northern Transvaal (South Africa) - Venda people are often associated with Mefuvha/Muvhango.,One of the largest Mancala variants. A variation exists where the bonus capture (rule 14) is not allowed.
Seega,"1. Board: 5x5 squares (central square marked). Starts empty. Each player has 12 pieces. (Variations: 7x7 with 24 pieces, 9x9 with 40 pieces). 2. Setup: Players decide who begins. Players take turns placing 2 pieces each anywhere on board except central square. 3. Movement Phase Start: Second player begins movement phase after all pieces are placed. 4. Movement: Piece moves one square horizontally or vertically. No diagonal moves. Pieces can move onto central square. 5. Unable to Move: If player cannot move, opponent takes extra turn to create opening. 6. Capture: If player traps an enemy piece between two of their own (horizontally or vertically, not diagonally), enemy is captured and removed. 7. Multiple Captures (Same Piece): After moving to capture, player may continue moving the same piece if it can make further captures. 8. Simultaneous Capture: If moving a piece traps 2 or 3 enemies simultaneously, all are captured. 9. Safe Passage: Moving a piece between two enemies doesn't harm it. One enemy must move away and back to capture. 10. Central Square Immunity: Piece on central square is immune from capture but can be used to capture. 11. Win: Player who captures all enemy pieces. 12. Draw Prevention (Optional Agreement): If an impenetrable barrier is formed, player with most pieces remaining wins.","Cyningstan (http://www.cyningstan.com/game/120/seega). Popular in Egypt in 19th-20th centuries. Resembles ancient Greek Petteia and Roman Latru
(Content truncated due to size limit. Use line ranges to read in chunks)",-1400,,
