name,date,rules,source
football,1863,"The sport is played with a round ball (traditionally with black and white checks), which is only kicked by the feet. This excludes the goal keeper, who can use hands only in the goal area. A goal is scored when an attacking player kicks the ball into the opposition net. Games are usually low scoring. There are 11 players on the field, with some substitutions coming late in the game. If a player is substituted off they can not come back onto the field. The game consists of 45 minute halves, with a half time break.

A List of Rules
A football match is played by two teams, with each allowed no more than 11 players on the field at any one time, one of whom is a goalkeeper.
A match is played in two 45 minute halves.
The game begins with the toss of a coin, and the winning captain decides which goal to defend or to take the first kick off.
All players must use their feet head or chest to play the ball. Only the goalkeeper is allowed to use their hands, and only within their designated goal area.
The aim of the game is to score a goal, which is achieved by kicking or heading the ball into the opposition team's goal.
If the ball completely crosses the side line, it is thrown back in by the team that was not the last to touch the ball.
The game is controlled by a central referee, and two linesmen. They award free kicks and penalties when rules are broken. For continual breaking of rules or for a bad foul, the player may shown a red card and be sent off.",www.rulesofsport.com
rugby,1845,"The game is broken down into two 40 minute halves with a 10 minute rest period in between. The game carries no stoppage time and will end exactly on 80 minutes.
Each team can start with 15 players and up to 7 substitutes. Players that have left the field are only allowed to return if they have been treated for an injury.
The field must be roughly 100 metres long and 70 metres wide with a minimum of a 10 metre dead ball area. The H shaped goal needs to be 6 metres wide with no restrictions on height.
The field consist of the following markings; half way line, 5 metre line, 22 metre line, 10 metre line and dead ball line. Also included is a centre spot for restarting the game after a try, penalty or drop goal has been scored.
The game must have one referee and two touch judges. It’s the referee’s job to time keep, make decisions throughout the game and keep order on the field. The two touch judges can assist the referee with decisions and also notify the referee when players are in touch (out of playing boundaries).
The game will stop if a player is fouled, the ball goes out of play or a try or drop goal is scored.
The defending team must tackle a player by grabbing a hold and pulling them to the floor. A tackle cannot be made above shoulder height and doing so will cause the referee to award a foul.
Once the ball goes into touch a line out is called. Up to 7 players can enter a line out and any of these players can be lifted in order to catch the ball being thrown in. Both teams can compete to win the ball.
A successful conversion, penalty or kick at goal only occurs when the player manages to kick the ball through the top section of the goal. If a player is unsuccessful the ball is still in play until it crosses one of the playing fields boundaries.
Attacking players must remain behind the ball whilst active or run the risk of being called offside. Players not interfering with play can be in front of ball but must get back behind the ball before then again interfering with play.",www.rulesofsport.com
cricket,1744,"Players: Each team has eleven players, including a captain, and they take turns playing offense (batting) and defense (fielding).
Innings: In cricket, each team takes turns batting and fielding. A full game (test match) consists of two innings per team, with the exception of some shorter formats of the game such as ODIs and T20s. (see types of cricket)
Equipment: The equipment used in cricket includes a bat, a ball, and wickets. The bat is flat on one side and can be no more than 38 inches in length. The ball is typically made of cork, covered in leather, and weighs between 5.5 and 5.75 ounces. Wickets are made of three wooden stumps and two bails.
Scoring: The basic way to score runs is by hitting the ball and running to the opposite end of the pitch. If the ball is hit to the boundary, a four or six runs are awarded depending on whether it bounces before crossing the boundary or not. The team with the highest score at the end of the game wins.
Bowling: The bowling team takes turns bowling the ball to the batsmen, and the objective is to hit the wickets or get the batsmen out in another way (see ways of getting out). The bowler must not throw the ball but instead bowl it overhand with a straight arm.
Batting: The batting team tries to score runs while protecting their wickets. Each batsman takes turns facing the bowler, and the objective is to hit the ball and score runs. A batsman is out if they hit the ball in the air and it is caught by a fielder, or if the ball hits the wicket and the bails are dislodged (there are other less common ways of getting out too).
Extras: If a no-ball or a wide ball is bowled, the batting team is awarded an extra run (but the score is not credited to the batsman). Other extras are byes and leg byes, and penalty runs.
Fielding: The fielding team tries to take wickets and prevent the batting team from scoring runs. Fielders can catch the ball or stop it and throw it to the wickets to get a run-out.",www.rulesofsport.com
gaelic football,1855,"Inter-county matches consist of two 35-minute halves, while club games are 30 minutes per half.

In Gaelic football, players are allowed to carry the ball in their hands and it can be kicked or hand-passed. After every four steps the player must bounce or solo the ball. A solo involves dropping the ball onto your boot and kicking it back into your hand. You cannot bounce the ball twice in succession but you can solo as many times as you wish. The ball cannot be lifted straight off the ground - a player must put his boot under it.

Shoulder-to-shoulder contact is permitted, while a player can slap the ball out of an opponent's hand. More than one player can tackle the player in possession but their tackle must be aimed at the ball. Deliberate body contact such as punching, tripping, jersey pulling or a full frontal charge is forbidden, as is blocking an opponent's shot with the foot.

In hurling, the ball can be struck on the ground or in the air - with the hurley or boot - but it must be lifted off the ground with your hurley. The ball can be carried in your hand for a maximum of four steps. After that you can bounce the ball on the hurley and back to your hand, but you cannot catch the ball more than twice. Players get around this by balancing the ball on their hurley while running.

Players can block an opponent's strike using their hurley. They can also hook a player's hurley as he is attempting the strike the ball. Like football, shoulder-to-shoulder contact is also permitted.


Scoring
A goal is scored when the ball crosses the goalline between the posts and under the crossbar, while a point is scored when the ball goes over the crossbar. A goal is the equivalent of three points. Teams' scores are written in a goals-points format. For example, 2-10 is two goals and 10 points, which is a total of 16 points.

A goal is signalled by the umpire raising a green flag, while a white flag signals a point. The game restarts with the goalkeeper kicking out the ball from the 13-metre line.",https://www.skysports.com/more-sports/gaelic-football/news/30546/9298721/sky-sports-beginners-guide-to-gaelic-games
hurling,1855," The pitch : a large rectangular field.

2. The stick : called a hurley or hurl, a curved piece of ash.

3. The ball : called a 'sliotar', small and firm, about the size of a medium orange; a leather cover over a fibre-wrapped core.

4. The score : comprises both points and goals, a goal being equal to three points. Scores are obtained by propelling the sliotar with stick, foot or palm, over (for a point) or under (for a goal) the cross-section of the H-shaped goal, and between the upright posts.

5. The team : 15 on each side
Up to three players may be replaced during the course of the game by replacements from the bench ; it is usual to name six possible replacements at the beginning.

6. Control : One referee, assisted by two linesman (touch judges) and four umpires, two at each goal, control the flag. The umpires' function is to signal scores or wides.

7. The play : the referee starts the match by throwing the ball between the four players at the centre. The ball may be struck, kicked, caught (in one hand only), or delivered with a smack of the open hand; it may NOT be thrown. This flexibility gives the game a speed and excitement that is noticeably absent from a ground-only game such as hockey. A good deal of physical contact is tolerated, but deliberately striking another player with the stick is always an offence. A goal-keeper has some protection as long as he stays within his goal area, but if he leaves this he is no more favoured than any other player. A very distinctive feature of the game is called 'soloing', where a player balances the sliotar on the wide part ('bas') of the hurley, and runs with it balanced on the stick for an unrestricted distance as opposition players try to dispossess him. Play lasts for either 60 or 70 minutes depending on the status of the match, with the referee also acting as timekeeper. After a score or wide, play is re-started by a player, usually the goalkeeper, 'pucking out' : driving the ball from the hand into the centre of the pitch. When the ball escapes over the sideline it is driven back into play off the ground; this is known as a sideline 'cut'. The linesman's function is to place the sliotar for this, and to nominate which team is to take it, the side that last touched the ball in play surrendering the cut to the other.",https://irelandmidwest.com/Hurlingrules.htm
shinty,1893,"Two teams (usually of six or twelve players a side) play on a field of similar proportions and size to a soccer pitch. The players use Camans (hooked/curved sticks with a triangular cross section) to strike the shinty ball, either in the air or on the ground, with the intention of scoring a goal. As in soccer, a goalkeeper guards the goal nets, which measure 12 feet across and 10 feet high. A shinty match is either 30 minutes (for six-a-side) or 90 minutes (for twelve-a-side) in length, divided into two halves with a short break between. A referee regulates play, enforcing rules and calling fouls for illegal and/or dangerous play. There are also side judges and goal judges to assist in calling side-outs, end-outs and goals. A more detailed explanation of the rules can be found elsewhere on the US Camanachd site (here) and a full set of rules and regulations, as well as rules for shinty/hurling hybrid matches, can be found at the Camanachd Association site here.","https://universitytimes.ie/2011/01/a-rough-guide-to-shinty-in-trinity/#:~:text=Shinty%20players%20usually%20are%20not,crossbar%20are%20worth%201%20point."
korfball,1902,"The ball (football sized), must be passed from hand to hand. To score a goal, the ball must pass through the Korf (Dutch for “basket” – similar in design to a wastepaper basket with no base). These are suspended three and a half metres off the floor (much higher than you can jump – no slam dunks!), and situated in the centre of the two halves of the pitch. This means play can move around the posts, allowing much more movement and fluidity.

One of the most original rules of the sport is the Defending law. This effectively states that an attacker cannot shoot if their defender is within arm’s length of them. To shoot in this circumstance is a foul, punished by the ball being passed to the defenders. The ramifications of this rule are tremendous. It immediately creates a game where the aim is to create space for yourself and your team.mates. It also removes most of a height disadvantage, as you can still stop your attacker from shooting without having to physically block the ball.

Running with the ball is not allowed, but there is a certain amount of flexibility. If you catch the ball while moving, you are allowed a couple of steps to either bring yourself to a stop or to release the ball. This creates the possibility to use a “running-in shot” (similar to a lay-up in basketball). This complicates the defender’s job, as they must try to stay close to their attacker (within arm’s length to stop any long shots), but not so close that their attacker can run round them and score with a running in shot.

League games are generally twenty-five minutes each half but tournament games can range from 15minutes up to an hour. While the ball is at your end you can get as much exercise as you can handle, then you get a rest as the ball moves to the other half.",https://lukorf.wordpress.com/korfball-explained/
handball,1906,"A match consists of two periods of 30 minutes each.
Each team consists of 7 players; a goalkeeper and 6 outfield players.
Outfield players can touch the ball with any part of their body that is above the knee.
Once a player receives possession, they can pass, hold possession or shoot.
If a player holds possession, they can dribble or take three steps for up to three seconds without dribbling.
Only the goalkeeper is allowed to come into contact with the floor of the goal area.
Goalkeepers are allowed out of the goal area but must not retain possession if they are outside the goal area.",www.rulesofsport.com
water polo,1885,"The playing area is 30m x 20m with a minimum depth of 2m.
Teams consist of 13 players in total, with 7 players in play at any time, 6 field players and 1 goalie.
Players are only permitted to use one hand to hold the ball apart from the goalie who can use two hands when within 5m of their own goal.
Water Polo is played in four quarters with each quarter lasting for eight minutes with a two minute break between quarters.
Players advance the ball upfield by swimming with the ball in front of them or by passing to teammates.
Players are not allowed to touch the bottom of the pool and players tread water or swim for the entire match.
Teams can only retain the ball for up to 30 seconds without shooting at goal.
A goal is equal to one point and is scored when the ball is pushed or thrown completely between the goalposts and under the crossbar.
Fouls are made up of ordinary fouls and major fouls. Players are only allowed three major fouls, any more and they are excluded out of the game.
If at the end of the game the score remains tied, a shootout occurs to decide the winner.",www.rulesofsport.com
basque pelota,1929,"The ball however, is not soft like a tennis ball as one would imagine, since it is after all, hit with an open hand. Instead, the ball, or pelota as it’s called locally, is made from box wood that is covered by layers of latex and wool, and is topped off with a coat of leather. For this reason, it is very important for the players to protect their hands properly for the game.

The players, or pelotaris as they are called in Basque, cut small strips of various types of adhesives that are formed into particular shapes according to where they are positioned on the hand.

In the end, they are able to create many small pads which cover the inside of their hands. These pads are referred to as “tacos.” (not to be confused with the mexican variety... totally different type of taco).

Even with the tacos covering their hands, injuries can and do happen. Pelotaris are known for having some hardcore hands.
Pelota mano can be played one on one or in couples. The rules of the game are very simple. The main rule is that the ball must hit the front wall and then the other player must return the ball while it’s in the air or off the first bounce. Another important rule concerns the serve.

After the ball hits the front wall, the ball must land between two designated lines called the “falta” and the “pasa” in order to be valid. With only this amount of basic knowledge of these few rules, you should be ready to check out a game and understand what is going on.","https://www.euskoguide.com/basque-sports/pelota-mano/#:~:text=Pelota%20mano%20can%20be%20played,or%20off%20the%20first%20bounce."
