name,rules,date,source
Sepak Raga,"This game uses a woven rattan ball that players kick continuously without letting it touch the ground. Kids usually form a circle and take turns kicking the ball. It doesn’t just require speed—it takes teamwork and sharp reflexes!

In Indonesia, it’s known as sepak raga, in Malaysia the name remains similar, while in Thailand it evolved into takraw. Though it's now a recognized competitive sport, it was once a casual game played in backyards and open fields.",1401,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
Congklak ,"You’ve probably played this game using a long wooden board with carved holes and small seeds or pebbles. In Indonesia, it’s called congklak or dakon, in Malaysia it’s still congkak, and in the Philippines, it’s known as sungka. Though it may look simple, it’s a game of strategy and fast counting.

Often played in the late afternoon while sitting cross-legged, the game is usually filled with chatter and laughter. It also has strong ties to coastal culture, as it was often played by children from fishing communities.",-7000,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
Tumbang Preso,"An empty can, a pair of slippers, and one kid playing the guard—that's the simple recipe for Tumbang Preso! It closely resembles Sepak Tekong in Indonesia. Players must knock down the can with a slipper, then run before the guard catches them.

This game is more than just running around—it’s all about strategy and teamwork. Filipino children often consider it a must-play during school holidays.",1635,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
Engklek,"Boxes are drawn on the ground, players toss a stone into one of them, then hop on one foot through the sequence while trying to keep their balance. Engklek has long been a go-to game for kids who love to show off agility and coordination.

In other countries, the shapes and names may vary, but the core idea remains: balance, focus, and lots of fun with friends.",-401,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
Luksong Tinik,"Literally meaning “jumping over thorns,” this game involves two players forming “thorns” with their feet while others try to leap over them. As the game progresses, the height of the “thorns” increases. It’s thrilling—especially when someone fails and everyone bursts into laughter!

Luksong Tinik is not just a physical challenge—it’s also about courage and adrenaline. In Cambodia and Laos, similar jumping games are often showcased during cultural festivals as part of folk traditions.",1973,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
Egrang,"Ever tried walking on tall bamboo sticks? In Indonesia, it's called Egrang, a game that tests your balance as you walk as high as possible! Similar versions exist in Laos and Vietnam, often showcased in cultural festivals.

Kids usually make their own stilts out of bamboo and play together in open fields. If someone falls? No problem—just laugh it off and get back up again",-3000,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
Main Gasing,"Gasing, or top spinning, is a game that takes skill—keeping the top spinning long and steady. In Malaysia and Brunei, Gasing Pangkah is even considered a national sport. In Indonesia, the game is also popular across various regions, each with their own unique top designs.

It’s usually played on flat ground and sometimes becomes a competitive showdown between villages. The humming sound of the spinning top?",-450,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
Chatek,"If you’ve ever played with a colorful feathered shuttlecock you kick with your foot, that’s Capteh! It’s a legendary game in Singapore and Malaysia. In the Philippines, it’s called Sipa, and in Myanmar, Chinlone—which is even considered a performance art.",-500,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
Petak Umpet,"One game that never goes out of style: hide and seek! Whether played in gardens, behind houses, or in narrow alleys, everyone remembers that heart-pounding feeling of hiding and hoping not to get caught.",5,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
Patintero,"Patintero from the Philippines is strikingly similar to Bentengan or Gobak Sodor in Indonesia. Kids draw lines on the ground and try to pass through guards to win. It requires speed, tactics, and teamwork!
",1997,https://seasia.co/2025/04/09/childhood-in-motion-10-traditional-games-from-southeast-asia-you-mightve-played
