node,text,date,novelty
H0,"Patolli is an ancient Aztec board game that takes its name from the Aztec word for bean - patolli, meaning fava or kidney bean. The game is played on a curious diagonal cross-shaped board with red and blue markers and 5 bean-shaped tokens as dice. Patolli was associated with gambling and players often wagered vast treasures on its outcome.

The game consists of throwing beans (dice) to bring tokens onto the board, and move them towards an exit ramp at the other end. Tokens are safe on some squares, but mostly can be ""eaten"" if an opposing player lands on them.

The Kirk edition of the game includes a 49-page booklet on the history and background to the game.",300,10.0
H1,"The teams would face each other on the court. The object in the end was to get the ball through the stone hoop. This was extremely difficult, and so if it actually happened the game would be over. In fact, according to historian Manuel Aguilar-Morenao, some courts didn't even have rings. Another important rule was that the ball was never allowed to touch the ground. Players couldn't hold or even touch the ball with their hands - only the elbows, knees, hips and head were used. As you may imagine, this made for a very fast paced game, and the players had to constantly throw themselves against the surface of the court to keep the ball from landing. The players were skillful, and the ball could stay in the air for an hour or more.


Because it was so hard to get the ball through the hoops, there were other objects as well. Players could hit one of the six markers along the sides of the court. Or, they would be given points for other skillful plays. Fouls were also given if the players couldn't get the ball across the centre line, or if they touched the ball with the wrong part of the body, such as the hand or calf.",1400,7.105586528778076
H2,"A game of snow snake is played by four teams, called ""corners"", who compete in trying to throw their wooden ""snow snakes"" the furthest along a long trough, or track, of snow. The game is divided into rounds, and in a round each team gets four throws. At the end of each round, two points are awarded to the team of the person who made the furthest throw, and one point is awarded for the second furthest throw. Play continues until one of the teams wins, by achieving a certain predetermined number of points (usually 7 or 11).[3]

There are two roles on a snow snake team: the Player, and the Goaler. The main role of a Goaler is to craft and maintain a team's wooden ""snow snakes"" in between games. The Goaler is also tasked with selecting which will be used for each throw during the game. A Player, meanwhile, is someone who throws the snow snakes during a game.",1500,7.868010997772217
H3,"The game was played by two teams with an equal number of men. The object was to get a tiny, walnut-sized, leather-covered ball through a goal using sticks shaped somewhat like small tennis rackets. The size of the field depended on the size of the teams and the availability of suitable terrain. The Cherokees were among the first to play consistently on a field about 100 yards in length, although some fields were much larger. There was no time limit; the first team to score 12 times won. Any strategy to score was acceptable, including biting, choking, and even banging each other on the head with the rackets. There were no time-outs or substitutions, but if a player was knocked out his opponent had to leave the game also.",1636,7.911048889160156
H4,"Double Ball gets its name from two small balls that are attached to each other with a leather thong. The balls/thong are thrown and caught using a curved stick. Ball shape, size and materials varied by region, as did the specific rules. However, in general terms, the objective of the game was for one team to throw or “pass” the balls, using their sticks to catch the connecting leather thong and re-throw the balls on to another team member, making forward progress.

Points were earned by hitting a target, or goal established in each team’s “end-zone.” Often, this goal was a wicket, made of crotched poles about six feet tall, having a bar fastened across the top. The balls could not be allowed to touch the ground from the time an umpire tossed them into the air to begin play. The team that allows the balls to fall, loses a point.",1885,6.648917198181152
H5,"In this game, the player takes a pushup position with his hands in fists so that all upper body weight is placed on the knuckles. The player then lifts up his legs and bounces forward on his fists and toes. The player who goes the furthest distance wins.",2006,7.53167724609375
H6,"In the high kick, a target (such as a bone or a piece of fur) is suspended at a given height. A player begins in a standing position, with both feet together, and jumps up to kick the hanging target with one foot, landing on the same foot that kicked the target. The player must maintain his balance on landing. All players attempt to kick the target in the same way, completing the first round. Players who do not successfully kick the target are eliminated. For the second round, the target is raised a few inches. Rounds are continued until one player remains",2006,7.658102989196777
H7,This game tests competitors’ ability to endure pain. Two players sit on the floor facing each other. A loop of leather cord is strung between two of the players’ ears. Players then use their ear to pull on the cord until the cord comes free or the other player quits from the pain. This event can cause bleeding and some players require stitches. Some Arctic competitions have removed this event due to safety concerns.,1995,10.0
H8,"The blanket toss originated as a way for hunters to be able to see across the horizon but is now conducted for entertainment. Thirty or more people form a circle, holding the edges of a large skin or blanket, and toss a person into the air as high as possible. The object is to maintain balance and return to the blanket without falling over.",2006,10.0
H9,Players attempt to throw coins or disks in the holes which score differently according to their difficulty. Disks that land successfully slide down to the front of the table to a compartment at the front of the table showing the score,2002,6.989997863769531
H10,"The Alaskan High Kick is similar to the One- and Two-Foot High Kick in that the objective is to kick a hanging target. However, in this game, the player holds one foot with one hand, balances on the other hand, and then extends the other leg up to kick the target.",2006,7.582805156707764
H11,"A post was erected in the middle of an area, and the one who managed to hit the target on top with a ball was awarded a prize",1591,10.0
H12,"This game, sometimes called the hidden ball game, was played by two groups of men. The players sat opposite each other on a blanket. Four moccasins were placed in a row between the two groups. One of the groups watched as a token or ball was hidden under one of the moccasins by the other group. The players made pretenses of hiding and removing the token in an effort to make it more difficult to discover the actual location of the token. The group watching then guessed under which moccasin the token had been hidden. The Ojibwa, Ho-Chunk, and Menominee used a “striking stick” to turn over the moccasin where they thought the token was hidden. If the player guessed the correct shoe, four points were scored while four points were subtracted if the wrong shoe was picked. Sticks were used to keep track of the score.",1801,7.848115921020508
H13,"In this game a chunkey stone was rolled over the ground or ice while several players threw spears in an attempt to indicate where the stone would stop rolling. The closest to the final location of the stone, without actually hitting the stone, was the winner.",600,7.234227657318115
H14,One type of guessing game used small wooden sticks that were carved or painted with bands of color. The number of sticks varied from ten to more than a hundred and were divided into two bundles. The object was to guess the location of an oddly carved or painted stick. Another version would have involved guessing which bundle of sticks had more than the other.,1492,6.788534164428711
