node,model,text,date,novelty,ground_truth,formula
L0,GPT,"Equipment Needed:

1 flat circular board (drawn in sand or carved into wood) divided into a sunburst pattern with 12 outer circles (like petals) and a central circle.

20 small stones per player (representing ""Lions"")

1 larger central stone (the ""Prey"")

Setup:
Each player chooses a color of stones (can be differentiated by material, markings, or shape).

The larger central ""Prey"" stone is placed in the middle circle.

Players place 5 of their Lion stones on outer circles opposite their position around the board.

Objective:
To control the central ""Prey"" stone by outmaneuvering or outlasting the other players’ Lion stones.

How to Play:
Turn-Based Movement: Players take turns moving one Lion at a time, either:

Into an adjacent circle

Or jumping over an opponent’s Lion into an empty circle beyond (capturing the jumped piece, similar to checkers)

Claiming the Prey:

If a player moves one of their Lions into the central circle, they now control the ""Prey"".

However, any Lion in the center is vulnerable to attack from all directions.

Defending the Prey:

To ""hold the prey,"" a player must keep at least 2 Lions adjacent to the center.

If another player captures the Lion in the center, they gain control.

Winning the Game:

A player wins by:

Holding the Prey stone for 3 full rounds (all players’ turns), or

Being the last player with Lions remaining.",2025,9.782068252563477,4.0,exp_decay
L1,GPT,"Players are wandering griots (storytellers) traveling across villages along the Niger River. They compete to collect the most Tales of Wisdom by gathering Story Stones, gained through challenges of memory, riddles, music, and quick thinking.

Materials Needed (traditionally improvable):
20 small stones or seeds (representing Story Stones)

A cloth board with 5 drawn villages (can be marked in the dirt or on cloth)

Hand drums or clapping (for rhythm-based challenges)

A carved stick or token (used as the Griot Staff, passed between turns)

Setup:
Place 4 Story Stones in each village.

Players sit in a circle. The Griot Staff starts with the youngest player.

Each player chooses a symbol (animal or totem) to represent themselves.

Goal:
Be the first to collect 7 Story Stones by winning mini-challenges in storytelling, memory, or rhythm.

Gameplay Overview:
On a player’s turn, they choose one of three actions:

Riddle the Village: The player asks a riddle (from memory or made up). The first player to solve it correctly earns a Story Stone.

Echo the Drum: The player taps a rhythm (using drum, sticks, or claps). The others must repeat it exactly. The first to do it flawlessly wins a Story Stone.

Weave a Tale: The player must improvise a 3-part tale (with a hero, challenge, and lesson). Others vote (by raising fingers secretly) on how good it was (1–5). If the player gets at least 3 points total, they earn a Story Stone.

After their action, they pass the Griot Staff clockwise.

Village Stones:
Once all stones in a village are taken, it becomes “silent” and no challenges may be issued from it. This encourages players to use different challenge types.

Winning:
The first player to gather 7 Story Stones is crowned the Master Griot, keeper of the greatest wisdom.",2025,9.7924222946167,7.5,exp_decay
L2,GPT,"Players are young explorers from different African regions embarking on a journey to collect Wisdom Tokens by solving riddles, facing natural challenges, and trading with tribes across the African savanna. The first to collect 5 Wisdom Tokens and return to their home village wins.

Components:
Game Board (map of a stylized African landscape with regions: Desert, Jungle, Mountains, Savanna, Coast)

5 Player Pawns (representing different explorers)

50 Wisdom Tokens

30 Challenge Cards

30 Riddle Cards

20 Trade Cards

1 Die (six-sided)

Item Tokens (Water, Food, Tool, Charm)

Setup:
Place the board on a flat surface.

Each player picks a pawn and places it in a different “Home Village” on the map.

Shuffle and place Challenge, Riddle, and Trade cards on their decks.

Distribute 3 random Item Tokens to each player.

Gameplay:
Players take turns in clockwise order. On your turn:

Roll the die to move (1–6 spaces in any direction).

Land on a location (marked on the board):

Natural Challenge Spot: Draw a Challenge Card. You may need specific items (e.g., avoid a lion with a Charm) to succeed and earn a Wisdom Token.

Riddle Spot: Solve a cultural or nature-themed riddle. Get it right and earn a Wisdom Token.

Trade Post: Draw a Trade Card and offer item(s) to exchange with another player or the post.

Optional: Trade items with nearby players if on the same spot.

Special Rules:
Players can only carry 5 items at a time.

If you fail a challenge, you lose 1 item.

Riddles can be attempted only once per turn.

Returning to your Home Village after collecting 5 Wisdom Tokens wins you the game.",2025,9.819491386413574,5.5,exp_decay
L3,GPT,"Equipment Needed:
10 flat stones or tiles (to form a path)

5 small tokens per player (could be pebbles, seeds, carved wood—representing “lanterns”)

1 marker or unique object (to represent the shrine)

A cloth bag or bowl to draw stones (optional, can be randomized manually)

A playing surface like the ground, table, or mat

Setup:
Lay out the 10 stones in a winding or straight path (1x10).

Place the shrine marker at the end of the path.

Each player chooses a color or type of token (5 lanterns each).

Determine turn order by lot or age.

Objective:
Be the first to safely guide 3 of your lanterns to the shrine by lighting a path across the stones.

Gameplay:
On your turn, you may choose one of two actions:

Place a Lantern:
Place one of your lanterns on any unlit (empty) stone that is adjacent to a previously lit stone (yours or another's). The first lantern may be placed anywhere on the first stone in the path.

Move a Lantern:
Move one of your lanterns forward 1 or 2 spaces, but only if all stones in the path are lit (occupied by any lantern) and you are not moving through another lantern.

Special Rules:
Only one lantern per player can occupy a single stone.

You may not place a lantern more than 2 stones ahead of your furthest lantern.

If a player’s lantern reaches the shrine (final stone), remove it and place it beside them.

Once a lantern is placed, it cannot go backward.

Winning the Game:
The first player to guide 3 lanterns to the shrine wins. If the stones fill up and no one reaches 3, the player with the most lanterns at or nearest the shrine wins.",2025,9.813398361206055,7.5,exp_decay
L4,GPT,"Setup:
Draw a 5x5 grid (25 squares).

The center square is the “Sacred Stone.”

Each player chooses to be either Fox or Crane (if 2–3 players: 1v1 or 2v1, if 4–5: form teams).

Give each player 4 pebbles/tokens (each one represents an animal spirit).

Gameplay Overview:
Objective:
Be the first to either:

Control the Sacred Stone with two of your own tokens for 1 full round, or

Capture all opposing tokens (or reduce to 1 remaining).

Turns (played clockwise):
Move or Meditate:

Move: Move one token 1 space orthogonally (up/down/left/right).

Meditate: Do not move this turn, instead choose one of:

Regain Power: Return 1 captured token to the board at the edge.

Whisper: Secretly swap two adjacent tokens of yours and another player (announced as a “whisper”—can include bluffing).

Challenge Phase:

If a token moves next to an opposing token, a challenge may be declared.

Both players place a hand behind their back and reveal 1 to 3 fingers.

Higher number wins. If tied, defender wins.

Winner keeps their token; loser removes it from the board.

Special Rule: Sacred Stone
If a player ends their turn with two of their tokens on the Sacred Stone and its adjacent square, they gain “Control.”

If they retain Control through all other players' turns, they win.",2025,9.775096893310547,7.0,exp_decay
L5,GPT,"Set during a traditional lantern festival, players take on the role of kids playing a festive game of hide-and-seek with glowing lantern tokens. Only one token is ""lit"" each round — others are decoys. The aim is to find or hide the lit lantern without being caught.

Setup:
One player is the Hider each round.

The other players are Seekers.

Place the 5 tokens next to the cup.

How to Play:
1. The Hider’s Turn:
Secretly choose one token to be the “lit lantern” and hide it under the cup.

Shuffle and place the remaining 4 tokens visibly in a line.

The Hider challenges the Seekers: “Find the glowing lantern!”

2. Seekers’ Turn:
Starting with the player to the Hider’s left, each Seeker chooses one of the visible tokens or points to the cup.

Once all have guessed, the Hider lifts the cup.

3. Scoring:
Correct guess (guessed the cup and it has the lit token): +2 points

Decoy pick: 0 points

If nobody finds it: Hider gets +2 points

If two or more guess correctly: Each gets 1 point, Hider gets 0

4. Next Round:
Pass the Hider role clockwise.

Play until each player has hidden once (or twice, for longer games).",2025,9.796432495117188,6.5,exp_decay
L6,GPT,"Materials Needed (all easily available in ancient India):
5 small pebbles or seeds per player (used as player tokens)

A board or drawn grid on ground (5x5 or 7x7 grid drawn with a stick or chalk)

1 six-faced cowrie shell or a dice substitute (e.g. a tamarind seed with one side marked)

Small symbols or drawings on some squares to represent events (snake = setback, lotus = blessing, fire = challenge, river = wait)

Setup:
Draw a square grid on the ground (e.g., 7x7 squares).

Mark a start square (bottom left) and a temple square (top right).

Randomly assign about 10 squares special effects:

Lotus = move forward 1 extra space.

Snake = go back 2 spaces.

Fire = skip a turn.

River = share space with another player to cross (forces cooperation).

How to Play:
Players take turns rolling the cowrie (or seed).

Cowrie face up = move 2 spaces.

Cowrie face down = move 1 space.

Landing on a special square triggers the effect.

Only one token per player can be on a square (except rivers).

Multiple pebbles per player: You can split your 5 pebbles and race multiple tokens, increasing strategy.

First player to get any 3 of their 5 tokens to the temple wins.

Strategic Elements:
Decide whether to push one token quickly or spread risk across many.

Navigate around dangerous squares or take the risk for faster paths.

Form temporary alliances at river squares.",2025,9.761321067810059,3.5,exp_decay
L7,GPT,"Be the first player to escort your Rajah across the board to the opposite corner of your starting position while avoiding capture and outmaneuvering rivals.
Setup:
Draw a square grid (5x5 for shorter games, 7x7 for longer ones).

Each player places their 4 guard tokens on one edge of the board (each edge assigned to one player).

The Rajah token starts in the center of a player’s side (rotates each round if playing multiple games).

Gameplay:
Players take turns clockwise. On your turn, you may either:

Move a Guard: One square in any direction (no diagonal).

Move the Rajah: Only if a guard is adjacent. The Rajah may move to an adjacent square only if guarded (must be next to one of your guards before and after the move).

Challenge: If your guard lands on a square occupied by another guard, that piece is removed (captured). The Rajah can never capture or be captured, only blocked.

Rules:
No two tokens may occupy the same square.

A Rajah can only be moved if protected (adjacent to a friendly guard).

If your Rajah is trapped (no legal moves), you're eliminated.

Guards may be captured, but the Rajah cannot.

Winning:
First player to get their Rajah to the opposite corner from where they started wins.

Alternatively, be the last player with a mobile Rajah.",2025,9.755064010620117,6.0,exp_decay
L8,GPT,"Villagers must trap the Tiger by surrounding it. The Tiger wins by escaping capture for 10 turns or by capturing all villagers.
 Setup:
Draw a simple board with 9 spaces (a square with lines connecting the middles and diagonals works well).

The Tiger starts in the center.

Each player takes 3 Villagers of the same kind (3 similar seeds or stones).

Villagers begin off the board. They’re placed during the players’ first turns.

How to Play:
Players take turns clockwise.

On your turn, do one of the following:

Place a Villager on any empty circle (until all your 3 are placed).

Move a Villager: Once placed, move to an adjacent circle along a line.

The Tiger moves every other turn, and may:

Move to an adjacent empty circle, OR

Capture a Villager by jumping over it to an empty spot (like in checkers).

Tiger’s Goal:
Avoid being surrounded by Villagers.

Try to capture Villagers by jumping them.

If the Tiger survives 10 turns or captures 6 villagers total (if more than 2 players), it wins.

Villagers’ Goal:
Coordinate to surround the Tiger so it can’t move.

No single player can win — it’s a cooperative win for all villagers unless playing competitively, in which case the last Villager to move before trapping the Tiger is the ""chief hunter.""

Optional Variations:
Hidden Roles: One player is secretly helping the Tiger and tries to sabotage the villagers.

Board Expansion: Use a larger triangle or star-shaped grid to allow more movement.",2025,9.763333320617676,6.5,exp_decay
L9,GPT,"Accumulate the most spirit tokens (points) by claiming territories and completing sacred patterns before the end of the game.

Materials Needed:
20 small stones (4 sets of 5 stones, each set a different color or marked distinctly)

A stick or cord to draw a 5x5 grid in dirt or sand

15 “spirit tokens” (small shells, carved seeds, or extra stones)

Optional: colored dyes, charcoal, or clay for marking pieces

Setup:
Draw a 5x5 grid (like a tic-tac-toe board but larger).

Each player selects a set of 5 stones (representing their spirit).

Place all spirit tokens in a pile nearby.

Gameplay Overview:
The game is played in rounds, with each player taking a turn per round. A game has 6 rounds total.

On Your Turn:
You may place or move one of your stones.

1. Place a Stone (if you have unplaced stones):
Put it on any empty square in the grid.

2. Move a Stone (if all your stones are placed):
Move one of your stones orthogonally (not diagonally) to an adjacent empty square.

Claiming Patterns:
Whenever you form a line of 3 of your own stones (horizontally, vertically, or diagonally), you gain 1 spirit token.

If you form a corner triangle (three stones forming a right angle at a grid corner), you get 2 spirit tokens.

Sacred Circle Bonus:
If four different players each control one stone in a 2x2 square, each of them gets 1 bonus token. This encourages temporary cooperation.",2025,9.79220199584961,6.0,exp_decay
