formula,model,MSE,MAE,R2
exp_decay,GPT,13.05476548523293,3.3474332173665364,-6.010315594695485
exp_decay,LLama,17.257935431424205,4.020674705505371,-15.281071161720945
exp_decay,Mistral,30.461319537564062,5.225999259948731,-8.4016418325815
exp_decay,Olmo,17.883243122593377,3.813727633158366,-4.185218688896275
rational_decay,GPT,2.9635374765764935,1.5098201115926106,-0.5913984062761597
rational_decay,LLama,5.147942934611198,1.8226536115010579,-3.85654993831245
rational_decay,Mistral,8.465755705127034,2.105289109547933,-1.6128875633108128
rational_decay,Olmo,3.45160591540354,1.6188522020975749,-0.0007877976363357408
exponential_sharp,GPT,5.835632124605824,2.073439598083496,-2.1336926683444153
exponential_sharp,LLama,10.222373811852897,2.9198708216349285,-8.643748879106505
exponential_sharp,Mistral,20.27654360293486,4.16452054977417,-5.258192470041624
exponential_sharp,Olmo,8.873409619438569,2.4996798515319822,-1.57283139738876
entropy_decay,GPT,2.6174170565769903,1.1800905227661134,-0.40553421892559105
entropy_decay,LLama,6.720720063726594,2.0452732404073077,-5.340301946911881
entropy_decay,Mistral,14.094532549041636,3.279592672983805,-3.3501643669881593
entropy_decay,Olmo,4.663595412880416,1.7250831604003907,-0.3522022782191929
