Title,Category,Poem,Originality Score (1–10),Source,Graph-Based Creativity Score
The Arrow and the Song,Communication,"Words like arrows, swift and free,
Pierce the air, a message to be,
In the silence, they find their mark,
A connection made, a heart that sparks.",7,LLAMA,0.474
Crossing the Bar,Farewell,"As twilight falls, the bar I cross,
The sea of life, its final loss,
The pilot waits, a guiding light,
In the darkness, I take flight.",7,LLAMA,0.304
Design,Symbolism,"In spider's web, a pattern lies,
A dance of threads, a hidden guise,
A symbol of fate, a delicate spin,
A design that weaves, a story within.",9,LLAMA,0.553
The Peace of Wild Things,Solace,"Among wild things, I find my peace,
A world untamed, my worries cease,
The wind whispers secrets, trees lean in,
In nature's arms, my soul begins.",8,LLAMA,0.364
My Heart Leaps Up,Joy,"Rainbow's arc, a vibrant hue,
My heart leaps up, with joy anew,
In wonder's gaze, my spirit soars,
A world of magic, forever more.",6,LLAMA,0.419
Daddy,Confession,"In tangled threads, a complex knot,
A love-hate dance, a heart that's caught,
A confession pours, like autumn rain,
A tangled web, a heart's deep pain.",9,LLAMA,0.498
Fire-Caught,Artistic Spirit,"Flames that flicker, a creative spark,
A soul on fire, a work of art,
The muse whispers, a vision unfolds,
A masterpiece born, from heart and gold.",6,LLAMA,0.518
A Bronzeville Mother Loiters...,Justice,"In city streets, a mother stands,
A vigil kept, with outstretched hands,
For justice sought, for rights denied,
A mother's cry, that won't subside.",9,LLAMA,0.59
Theme for English B,Racial Identity,"Ink flows black, on page so white,
A story told, of day and night,
A search for self, in words so true,
A racial identity, shining through.",7,LLAMA,0.484
A Blessing,Peace,"Hooves on ground, a gentle pace,
A moment's peace, in a busy space,
The world slows down, in tranquil hush,
A blessing found, in quiet rush.",7,LLAMA,0.51
To Be of Use,Work Ethic,"Hands that labor, a story tell,
Of sweat and toil, of trials well,
A life of purpose, in work so true,
A heart that's proud, in all we do.",8,LLAMA,0.551
Abou Ben Adhem,Compassion,"In love's great book, a name so dear,
Abou Ben Adhem, with heart so clear,
A love for all, in every place,
A compassion that, time won't erase.",10,LLAMA,0.362
London,Urban Decay,"Thames' dark flow, a city's sigh,
A world of stone, where dreams go dry,
In urban decay, a story's told,
Of lost grandeur, and a city's gold.",10,LLAMA,0.469
Song of Myself,Self,"I sing myself, a cosmic dance,
A universe within, a wondrous prance,
A self-discovery, in every breath,
A journey inward, to the depths of depth.",6,LLAMA,0.517
The Tropics in New York,Homesickness,"Bananas ripe, a tropical breeze,
A taste of home, in foreign trees,
A heart that's heavy, with longing's pain,
For sun-kissed lands, and love's sweet rain.",6,LLAMA,0.263
The Voice,Grief,"A whispered voice, a gentle tone,
Echoes past, a memory alone,
A grief that's deep, a heart that's sore,
A voice that whispers, forever more.",9,LLAMA,0.466
Hymn to Intellectual Beauty,Philosophy,"A shadow falls, of beauty rare,
A glimpse of truth, beyond compare,
A world of thought, where ideas roam,
A hymn to beauty, in intellectual home.",8,LLAMA,0.398
Travel,Wanderlust,"Roads that wind, a journey's call,
A world to see, before we fall,
A traveler's heart, with wonder's gaze,
A world of magic, in every phase.",8,LLAMA,0.501
Some People,Modern Life,"Faces blur, in city crowds,
A world of strangers, in endless clouds,
Some people rush, with busy feet,
While others pause, in quiet retreat.",10,LLAMA,0.601
The Chambered Nautilus,Transformation,"A shell that's spiraled, a story told,
Of growth and change, of life unfold,
A nautilus's journey, through the deep,
A transformation, in silent sleep.",6,LLAMA,0.598
"Tears, Idle Tears",Sorrow,"Tears fall slow, like autumn's rain,
A heart that's heavy, with sorrow's pain,
Memories of joy, now lost and grey,
Idle tears, that fall, day by day.",8,LLAMA,0.28
The Applicant,Gender Roles,"A perfect wife, a checklist made,
A role to play, a life to parade,
A smile that's painted, a heart that's cold,
A performance scripted, a story untold.",6,LLAMA,0.636
The Second Coming,Apocalypse,"The center fails, anarchy's reigns,
A beast rises, with fiery stains,
The darkness gathers, the end draws near,
A world in chaos, a future unclear.",8,LLAMA,0.515
