Title,Author,Category,Publication Year,Text,Source
The Arrow and the Song,Henry Wadsworth Longfellow,Communication,1845.0,"I shot an arrow into the air,
It fell to earth, I knew not where;
For, so swiftly it flew, the sight
Could not follow it in its flight.

I breathed a song into the air,
It fell to earth, I knew not where;
For who has sight so keen and strong,
That it can follow the flight of song?

Long, long afterward, in an oak
I found the arrow, still unbroke;
And the song, from beginning to end,
I found again in the heart of a friend.",https://www.poetryfoundation.org/poems/44642/the-arrow-and-the-song
Crossing the Bar,"Alfred, Lord Tennyson",Farewell,1889.0,"Sunset and evening star,
      And one clear call for me!
And may there be no moaning of the bar,
      When I put out to sea,

   But such a tide as moving seems asleep,
      Too full for sound and foam,
When that which drew from out the boundless deep
      Turns again home.

   Twilight and evening bell,
      And after that the dark!
And may there be no sadness of farewell,
      When I embark;

   For tho' from out our bourne of Time and Place
      The flood may bear me far,
I hope to see my Pilot face to face
      When I have crost the bar.",https://www.poetryfoundation.org/poems/45321/crossing-the-bar
Design,Robert Frost,Symbolism,1922.0,"I pour a coating of salt on the table
and make a circle in it with my finger.
This is the cycle of life
I say to no one.
This is the wheel of fortune,
the Arctic Circle.
This is the ring of Kerry
and the white rose of Tralee
I say to the ghosts of my family,
the dead fathers,
the aunt who drowned,
my unborn brothers and sisters,
my unborn children.
This is the sun with its glittering spokes
and the bitter moon.
This is the absolute circle of geometry
I say to the crack in the wall,
to the birds who cross the window.
This is the wheel I just invented
to roll through the rest of my life
I say
touching my finger to my tongue.",https://www.poetryfoundation.org/poems/44270/design
The Peace of Wild Things,Wendell Berry,Solace,1968.0,"When despair for the world grows in me
and I wake in the night at the least sound
in fear of what my life and my childrens lives may be,
I go and lie down where the wood drake
rests in his beauty on the water, and the great heron feeds.
I come into the peace of wild things
who do not tax their lives with forethought
of grief. I come into the presence of still water.
And I feel above me the day-blind stars
waiting with their light. For a time
I rest in the grace of the world, and am free.",https://www.poetryfoundation.org/poems/47740/the-peace-of-wild-things
My Heart Leaps Up,William Wordsworth,Joy,1807.0,"My heart leaps up when I behold 

   A rainbow in the sky:

So was it when my life began; 

So is it now I am a man; 

So be it when I shall grow old, 

   Or let me die!

The Child is father of the Man;

And I could wish my days to be

Bound each to each by natural piety.",https://www.poetryfoundation.org/poems/45549/my-heart-leaps-up
Daddy,Sylvia Plath,Confession,1962.0,"You do not do, you do not do   
Any more, black shoe
In which I have lived like a foot   
For thirty years, poor and white,   
Barely daring to breathe or Achoo.

Daddy, I have had to kill you.   
You died before I had time
Marble-heavy, a bag full of God,   
Ghastly statue with one gray toe   
Big as a Frisco seal

And a head in the freakish Atlantic   
Where it pours bean green over blue   
In the waters off beautiful Nauset.   
I used to pray to recover you.
Ach, du.

In the German tongue, in the Polish town   
Scraped flat by the roller
Of wars, wars, wars.
But the name of the town is common.   
My Polack friend

Says there are a dozen or two.   
So I never could tell where you   
Put your foot, your root,
I never could talk to you.
The tongue stuck in my jaw.

It stuck in a barb wire snare.   
Ich, ich, ich, ich,
I could hardly speak.
I thought every German was you.   
And the language obscene

An engine, an engine
Chuffing me off like a Jew.
A Jew to Dachau, Auschwitz, Belsen.   
I began to talk like a Jew.
I think I may well be a Jew.

The snows of the Tyrol, the clear beer of Vienna   
Are not very pure or true.
With my gipsy ancestress and my weird luck   
And my Taroc pack and my Taroc pack
I may be a bit of a Jew.

I have always been scared of you,
With your Luftwaffe, your gobbledygoo.   
And your neat mustache
And your Aryan eye, bright blue.
Panzer-man, panzer-man, O You

Not God but a swastika
So black no sky could squeak through.   
Every woman adores a Fascist,   
The boot in the face, the brute   
Brute heart of a brute like you.

You stand at the blackboard, daddy,   
In the picture I have of you,
A cleft in your chin instead of your foot   
But no less a devil for that, no not   
Any less the black man who

Bit my pretty red heart in two.
I was ten when they buried you.   
At twenty I tried to die
And get back, back, back to you.
I thought even the bones would do.

But they pulled me out of the sack,   
And they stuck me together with glue.   
And then I knew what to do.
I made a model of you,
A man in black with a Meinkampf look

And a love of the rack and the screw.   
And I said I do, I do.
So daddy, Im finally through.
The black telephones off at the root,   
The voices just cant worm through.

If Ive killed one man, Ive killed two
The vampire who said he was you   
And drank my blood for a year,
Seven years, if you want to know.
Daddy, you can lie back now.

Theres a stake in your fat black heart   
And the villagers never liked you.
They are dancing and stamping on you.   
They always knew it was you.
Daddy, daddy, you bastard, Im through.",https://www.poetryfoundation.org/poems/48999/daddy
Fire-Caught,Langston Hughes,Artistic Spirit,1947.0,"The gold moth did not love him
So, gorgeous, she flew away.
But the gray moth circled the flame
Until the break of day.
And then, with wings like a dead desire,
She fell, fire-caught, into the flame.",https://www.poetryfoundation.org/poems/47889/fire-caught
A Bronzeville Mother Loiters...,Gwendolyn Brooks,Justice,1960.0,"From the first it had been like a
Ballad. It had the beat inevitable. It had the blood.
A wildness cut up, and tied in little bunches,
Like the four-line stanzas of the ballads she had never quite
Understoodthe ballads they had set her to, in school.

Herself: the milk-white maid, the ""maid mild""
Of the ballad. Pursued
By the Dark Villain. Rescued by the Fine Prince.
The Happiness-Ever-After.
That was worth anything.
It was good to be a ""maid mild.""
That made the breath go fast.

Her bacon burned. She
Hastened to hide it in the step-on can, and
Drew more strips from the meat case. The eggs and sour-milk biscuits
Did well. She set out a jar
Of her new quince preserve.

. . . But there was something about the matter of the Dark Villain.
He should have been older, perhaps.
The hacking down of a villain was more fun to think about
When his menace possessed undisputed breadth, undisputed height,
And a harsh kind of vice.
And best of all, when history was cluttered
With the bones of many eaten knights and princesses.

The fun was disturbed, then all but nullified
When the Dark Villain was a blackish child
Of fourteen, with eyes still too young to be dirty,
And a mouth too young to have lost every reminder
Of its infant softness.

That boy must have been surprised! For
These were grown-ups. Grown-ups were supposed to be wise.
And the Fine Princeand that otherso tall, so broad, so
Grown! Perhaps the boy had never guessed
That the trouble with grown-ups was that under the magnificent shell of adulthood, just under,
Waited the baby full of tantrums.
It occurred to her that there may have been something
Ridiculous in the picture of the Fine Prince
Rushing (rich with the breadth and height and
Mature solidness whose lack, in the Dark Villain, was impressing her,
Confronting her more and more as this first day after the trial
And acquittal wore on) rushing
With his heavy companion to hack down (unhorsed)
That little foe.
So much had happened, she could not remember now what that foe had done
Against her, or if anything had been done.
The one thing in the world that she did know and knew
With terrifying clarity was that her composition
Had disintegrated. That, although the pattern prevailed, 
The breaks were everywhere. That she could think
Of no thread capable of the necessary
Sew-work.

She made the babies sit in their places at the table.
Then, before calling Him, she hurried
To the mirror with her comb and lipstick. It was necessary
To be more beautiful than ever.
The beautiful wife.
For sometimes she fancied he looked at her as though
Measuring her. As if he considered, Had she been worth It?
Had she been worth the blood, the cramped cries, the little stirring bravado,
The gradual dulling of those Negro eyes,
The sudden, overwhelming little-boyness in that barn?
Whatever she might feel or half-feel, the lipstick necessity was something apart. He must never conclude
That she had not been worth It.

He sat down, the Fine Prince, and
Began buttering a biscuit. He looked at his hands.
He twisted in his chair, he scratched his nose.
He glanced again, almost secretly, at his hands.
More papers were in from the North, he mumbled. More maddening headlines.
With their pepper-words, ""bestiality,"" and ""barbarism,"" and
""Shocking.""
The half-sneers he had mastered for the trial worked across
His sweet and pretty face.

What he'd like to do, he explained, was kill them all.
The time lost. The unwanted fame.
Still, it had been fun to show those intruders
A thing or two. To show that snappy-eyed mother,
That sassy, Northern, brown-black

Nothing could stop Mississippi.
He knew that. Big fella
Knew that.
And, what was so good, Mississippi knew that.
Nothing and nothing could stop Mississippi.
They could send in their petitions, and scar
Their newspapers with bleeding headlines. Their governors
Could appeal to Washington . . .

""What I want,"" the older baby said, ""is 'lasses on my jam.""
Whereupon the younger baby
Picked up the molasses pitcher and threw
The molasses in his brother's face. Instantly
The Fine Prince leaned across the table and slapped
The small and smiling criminal.

She did not speak. When the Hand
Came down and away, and she could look at her child,
At her baby-child,
She could think only of blood.
Surely her baby's cheek
Had disappeared, and in its place, surely,
Hung a heaviness, a lengthening red, a red that had no end.
She shook her had. It was not true, of course.
It was not true at all. The
Child's face was as always, the
Color of the paste in her paste-jar.

She left the table, to the tune of the children's lamentations, which were shriller
Than ever. She
Looked out of a window. She said not a word. That
Was one of the new Somethings
The fear,
Tying her as with iron.

Suddenly she felt his hands upon her. He had followed her
To the window. The children were whimpering now.
Such bits of tots. And she, their mother,
Could not protect them. She looked at her shoulders, still
Gripped in the claim of his hands. She tried, but could not resist the idea
That a red ooze was seeping, spreading darkly, thickly, slowly,
Over her white shoulders, her own shoulders,
And over all of Earth and Mars.

He whispered something to her, did the Fine Prince, something
About love, something about love and night and intention.
She heard no hoof-beat of the horse and saw no flash of the shining steel.

He pulled her face around to meet
His, and there it was, close close,
For the first time in all those days and nights.
His mouth, wet and red,
So very, very, very red,
Closed over hers.

Then a sickness heaved within her. The courtroom Coca-Cola,
The courtroom beer and hate and sweat and drone,
Pushed like a wall against her. She wanted to bear it.
But his mouth would not go away and neither would the
Decapitated exclamation points in that Other Woman's eyes.

She did not scream.
She stood there.
But a hatred for him burst into glorious flower,
And its perfume enclasped thembig,
Bigger than all magnolias.

The last bleak news of the ballad.
The rest of the rugged music.
The last quatrain.
",https://www.poetryfoundation.org/poems/43306/a-bronzeville-mother-loiters-in-mississippi-while-a-young-child-looks-on
Theme for English B,Langston Hughes,Racial Identity,1951.0,"The instructor said,

      Go home and write
      a page tonight.
      And let that page come out of you
      Then, it will be true.

I wonder if its that simple?
I am twenty-two, colored, born in Winston-Salem.   
I went to school there, then Durham, then here   
to this college on the hill above Harlem.   
I am the only colored student in my class.   
The steps from the hill lead down into Harlem,   
through a park, then I cross St. Nicholas,   
Eighth Avenue, Seventh, and I come to the Y,   
the Harlem Branch Y, where I take the elevator   
up to my room, sit down, and write this page:

Its not easy to know what is true for you or me   
at twenty-two, my age. But I guess Im what
I feel and see and hear, Harlem, I hear you:
hear you, hear mewe twoyou, me, talk on this page.   
(I hear New York, too.) Mewho?
Well, I like to eat, sleep, drink, and be in love.   
I like to work, read, learn, and understand life.   
I like a pipe for a Christmas present,
or recordsBessie, bop, or Bach.
I guess being colored doesnt make me not like
the same things other folks like who are other races.   
So will my page be colored that I write?   

Being me, it will not be white.
But it will be
a part of you, instructor.
You are white
yet a part of me, as I am a part of you.
Thats American.
Sometimes perhaps you dont want to be a part of me.   
Nor do I often want to be a part of you.
But we are, thats true!
As I learn from you,
I guess you learn from me
although youre olderand white
and somewhat more free.",https://www.poetryfoundation.org/poems/47880/theme-for-english-b
A Blessing,James Wright,Peace,1963.0,"Just off the highway to Rochester, Minnesota,
Twilight bounds softly forth on the grass.
And the eyes of those two Indian ponies
Darken with kindness.
They have come gladly out of the willows
To welcome my friend and me.
We step over the barbed wire into the pasture
Where they have been grazing all day, alone.
They ripple tensely, they can hardly contain their happiness   
That we have come.
They bow shyly as wet swans. They love each other.
There is no loneliness like theirs.   
At home once more,
They begin munching the young tufts of spring in the darkness.   
I would like to hold the slenderer one in my arms,
For she has walked over to me   
And nuzzled my left hand.   
She is black and white,
Her mane falls wild on her forehead,
And the light breeze moves me to caress her long ear
That is delicate as the skin over a girls wrist.
Suddenly I realize
That if I stepped out of my body I would break
Into blossom.",https://www.poetryfoundation.org/poems/43090/a-blessing
