Title,Category,Poem
The Arrow and the Song,Communication,"The taut string hummed, a silent plea,
Then loosed its feathered urgency.
An arrow sped, a whispered flight,
To pierce the dusk with silver light.
It found its mark, a quivering hold,
A tale of force, stark and cold.

But from the bow, unseen, unheard,
A melody, a soaring bird,
Took wing upon the selfsame breeze,
A vibrant pulse through rustling trees.
It found a heart, a listening ear,
And bloomed in joy, dispelling fear.

The arrow's word, a pointed sting,
The song's embrace, a gentle thing.
Both left the source, a journey's start,
One touched the flesh, the other, heart.
And though their paths diverged in space,
Each carried meaning, time could not erase."
Crossing the Bar,Farewell,"The sun dips low, a molten tear,
Upon the glassy harbor here.
No sound of foam, no outward sigh,
As twilight paints the western sky.

The pilot waits, unseen, unknown,
To steer a soul to shores unshown.
The tide runs deep, a silent sweep,
To carry slumber, vast and steep.

No mournful bell, no anguished cry,
Just stillness where the day drifts by.
A gentle push, a whispered grace,
Beyond the known, to that calm place.

And though the bar I now must clear,
May peace attend, and banish fear.
For what awaits on that far strand,
Is home at last, in God's own hand."
Design,Symbolism,"A spider spins, a silver thread,
Across the pane where light is shed.
No random dance, no aimless trail,
But geometric, fine detail.

Each silken spoke, a whispered clause,
Of hunger held, and nature's laws.
The sticky traps, a patient art,
Reflecting skies within its heart.

So too, the world, a woven thing,
Where patterns rise, and secrets cling.
The spiral shell, the feathered wing,
Each curve and line, a truth they bring.

For in the warp and weft we find,
A grander loom, a cosmic mind.
And every form, a coded sign,
Of purpose etched, a plan divine."
The Peace of Wild Things,Solace,"When shadows lengthen, sharp and deep,
And human clamors cease to creep
Into the stillness of the wood,
Where ancient calm has always stood,

I turn to creatures, furred and fleet,
Whose silent wisdom, bittersweet,
Distills a balm upon my soul,
And makes the fractured spirit whole.

The grazing deer, with watchful eye,
Beneath the vast and starlit sky,
The owl's soft hoot, a gentle sound,
On mossy boughs, where peace is found.

They do not fret, they do not weep,
But trust the slumber, vast and deep,
Of earth that cradles every breath,
And conquers even silent death.

In this wild haven, dim and cool,
My troubled thoughts begin to pool
Like shadowed waters, still and clear,
Reflecting solace, banishing fear."
My Heart Leaps Up,Joy,"A rainbow arches, sudden bright,
A painted promise in the light.
And in that curve of vibrant hue,
My tethered spirit leaps anew.

No grand fanfare, no trumpet's call,
Just color answering nature's thrall.
A simple grace, a fleeting gleam,
Awakens joy within a dream.

As when a child, with eyes so wide,
First sees the world in joyful stride,
So leaps my heart, a startled thing,
At beauty that the moments bring.

This sudden spark, this vibrant flight,
A wellspring pure, a keen delight.
For in such moments, brief and bold,
The heart's true story can unfold."
Daddy,Confession,"You built your silence, brick by stone,
A fortress where I stood alone.
Your gaze, a weight, a heavy toll,
Upon a small and searching soul.

I chipped away with childish pleas,
At granite strength, unyielding ease.
Your love, a landscape stark and bare,
A whispered promise in the air.

The shadows stretched, a father's form,
A looming presence in the storm
That raged within my fragile breast,
A longing never quite at rest.

And now I speak across the years,
Through mists of half-remembered tears.
The iron effigy remains,
A landscape etched with unspoken pains.

This truth I lay upon the page,
A turning of a silent age.
The child still whispers in the gloom,
Confessing to an empty room."
Fire-Caught,Artistic Spirit,"A brushstroke flares, a crimson bloom,
Consuming canvas in the room
Of inner vision, fiercely bright,
A phoenix born of darkest night.

The clay takes heat, a molten sigh,
Beneath the fingers reaching high.
A fragile form, both fierce and bold,
A story in the fire told.

The words ignite, a burning brand,
Across the page, a fiery strand.
Each syllable, a leaping spark,
Illuminating shadows dark.

This fire-caught soul, it cannot rest,
Until the vision, manifest,
Leaps forth in hues that sear and sing,
The fervent offering art must bring.

For in that crucible of heat,
Where passions clash and spirits meet,
The truest forms are forged anew,
An ember's muse, forever true."
A Bronzeville Mother Loiters...,Justice,"The pavement sighs beneath her feet,
A rhythm echoing in the heat
Of Bronzeville's pulse, a weary beat.
Her gaze, a hawk's upon the street.

A phantom weight upon her hand,
A son's lost laughter in the land
Where shadows stretch and futures fade,
A silent debt that's never paid.

The scales of justice, tipped and blind,
Have left a wound within her mind.
No gilded dome, no solemn vow,
Can soothe the ache she carries now.

She loiters, not in idle guise,
But with the fury in her eyes
Of one who knows the bitter cost
When innocence is truly lost.

Each passing siren, sharp and keen,
Reopens wounds that still are green.
And in her stance, a quiet plea,
For balance, truth, and liberty."
Theme for English B,Racial Identity,"The paper waits, a stark white page,
To catch the thoughts that now engage
A mind that holds a history's weight,
And sees the world through a different gate.

They ask for truth, a simple line,
But truth wears shades that intertwine.
The jazz-soaked nights, the gospel's plea,
Are woven deep inside of me.

This ink that flows, it knows my name,
My city's grit, my spirit's flame.
It carries echoes, soft and low,
Of journeys that they do not know.

So let the words spill, dark and bright,
A testament beneath the light.
For in this voice, distinct and clear,
A self emerges, standing here.

The ""B"" I write, it holds the key
To more than just identity.
It breathes a life, uniquely spun,
Beneath a shared and watchful sun."
A Blessing,Peace,"Sun spills like honey on the grass,
Where gentle giants softly pass.
A ripple stirs the quiet air,
As velvet muzzles nuzzle there.

Their breath, a whisper on my hand,
A language I can understand
Without a word, a deep release,
A settling into perfect peace.

The frantic pulse within me slows,
As something ancient gently flows
From creature calm to spirit frayed,
A silent promise, softly laid.

No need for striving, no defense,
Just yielding to this sweet suspense.
The world recedes, its edges blur,
In the profound and tender stir

Of gentle eyes and patient grace,
A blessing in this quiet space.
And in that touch, so soft and deep,
A weary heart finds rest and sleep."
To Be of Use,Work Ethic,"Not the bright bloom that flaunts its hour,
But roots that delve with silent power,
Through stubborn earth, unyielding stone,
To draw the life that makes them known.

The calloused hand, the steady gaze,
That shapes the world in countless ways.
The weight borne well, the task embraced,
A quiet dignity interlaced.

No fleeting praise, no trumpet's sound,
But purpose firm, on solid ground.
The lever's creak, the hammer's fall,
Responding to a deeper call.

To lend a strength, a willing hand,
To cultivate and understand.
To be a vessel, strong and true,
Through which the world can fashion anew.

This quiet striving, day by day,
Not for the glitter, or the play,
But for the deep and honest worth,
Of being rooted in the earth."
Abou Ben Adhem,Compassion,"The angel wrote with pen of light,
A list of souls who loved the Right.
And Abou Ben Adhem, waking mild,
Inquired if his name graced the child
Of that bright scroll. The angel sighed,
""Nay, not among the sanctified.""

A gentle sorrow touched his face,
No hint of envy, no disgrace.
""Then write me,"" spoke that soul serene,
""As one who loves his fellow men.""

The angel vanished, and returned
With names where holy fervor burned.
And lo! Ben Adhem's name led all,
Whose love embraced both great and small.

For heavenly ledgers count it true,
That hearts which outward kindness knew,
Though lacking bright and fervent claim,
Burn with a more encompassing flame.
The love for humankind, so deep,
A place within God's grace will keep."
