Title,Category,Poem
The Arrow and the Song,Communication,"Words like arrows, swift and free,
Pierce the air, a message to be,
In the silence, they find their mark,
A connection made, a heart that sparks."
Crossing the Bar,Farewell,"As twilight falls, the bar I cross,
The sea of life, its final loss,
The pilot waits, a guiding light,
In the darkness, I take flight."
Design,Symbolism,"In spider's web, a pattern lies,
A dance of threads, a hidden guise,
A symbol of fate, a delicate spin,
A design that weaves, a story within."
The Peace of Wild Things,Solace,"Among wild things, I find my peace,
A world untamed, my worries cease,
The wind whispers secrets, trees lean in,
In nature's arms, my soul begins."
My Heart Leaps Up,Joy,"Rainbow's arc, a vibrant hue,
My heart leaps up, with joy anew,
In wonder's gaze, my spirit soars,
A world of magic, forever more."
Daddy,Confession,"In tangled threads, a complex knot,
A love-hate dance, a heart that's caught,
A confession pours, like autumn rain,
A tangled web, a heart's deep pain."
Fire-Caught,Artistic Spirit,"Flames that flicker, a creative spark,
A soul on fire, a work of art,
The muse whispers, a vision unfolds,
A masterpiece born, from heart and gold."
A Bronzeville Mother Loiters...,Justice,"In city streets, a mother stands,
A vigil kept, with outstretched hands,
For justice sought, for rights denied,
A mother's cry, that won't subside."
Theme for English B,Racial Identity,"Ink flows black, on page so white,
A story told, of day and night,
A search for self, in words so true,
A racial identity, shining through."
A Blessing,Peace,"Hooves on ground, a gentle pace,
A moment's peace, in a busy space,
The world slows down, in tranquil hush,
A blessing found, in quiet rush."
To Be of Use,Work Ethic,"Hands that labor, a story tell,
Of sweat and toil, of trials well,
A life of purpose, in work so true,
A heart that's proud, in all we do."
Abou Ben Adhem,Compassion,"In love's great book, a name so dear,
Abou Ben Adhem, with heart so clear,
A love for all, in every place,
A compassion that, time won't erase."
London,Urban Decay,"Thames' dark flow, a city's sigh,
A world of stone, where dreams go dry,
In urban decay, a story's told,
Of lost grandeur, and a city's gold."
Song of Myself,Self,"I sing myself, a cosmic dance,
A universe within, a wondrous prance,
A self-discovery, in every breath,
A journey inward, to the depths of depth."
The Tropics in New York,Homesickness,"Bananas ripe, a tropical breeze,
A taste of home, in foreign trees,
A heart that's heavy, with longing's pain,
For sun-kissed lands, and love's sweet rain."
The Voice,Grief,"A whispered voice, a gentle tone,
Echoes past, a memory alone,
A grief that's deep, a heart that's sore,
A voice that whispers, forever more."
Hymn to Intellectual Beauty,Philosophy,"A shadow falls, of beauty rare,
A glimpse of truth, beyond compare,
A world of thought, where ideas roam,
A hymn to beauty, in intellectual home."
Travel,Wanderlust,"Roads that wind, a journey's call,
A world to see, before we fall,
A traveler's heart, with wonder's gaze,
A world of magic, in every phase."
Some People,Modern Life,"Faces blur, in city crowds,
A world of strangers, in endless clouds,
Some people rush, with busy feet,
While others pause, in quiet retreat."
The Chambered Nautilus,Transformation,"A shell that's spiraled, a story told,
Of growth and change, of life unfold,
A nautilus's journey, through the deep,
A transformation, in silent sleep."
"Tears, Idle Tears",Sorrow,"Tears fall slow, like autumn's rain,
A heart that's heavy, with sorrow's pain,
Memories of joy, now lost and grey,
Idle tears, that fall, day by day."
The Applicant,Gender Roles,"A perfect wife, a checklist made,
A role to play, a life to parade,
A smile that's painted, a heart that's cold,
A performance scripted, a story untold."
The Second Coming,Apocalypse,"The center fails, anarchy's reigns,
A beast rises, with fiery stains,
The darkness gathers, the end draws near,
A world in chaos, a future unclear."
What lips my lips have kissed,Loss,"Lips that touched mine, now cold and still,
Memories of love, that echo and chill,
A heart that's lonely, a soul that's worn,
Longing for love, that's lost and torn."
One Need Not Be a Chamber,Fear,"The darkest fears, are those within,
A mind that's haunted, by ghosts that spin,
The corridors of thought, a labyrinth to explore,
A fear that's hidden, yet evermore."
Root Cellar,Survival,"In darkness stored, a secret life,
A haven for roots, a place to thrive,
A world below, where life begins,
A cellar's silence, where seeds spin."
The Snow Man,Perception,"A winter's world, in frosty gleam,
A snow man's gaze, a frozen dream,
The world is seen, through icy eyes,
A reality, in snowy surprise."
A Noiseless Patient Spider,Loneliness,"A spider's thread, a solitary spin,
A lonely journey, through void within,
A patient soul, that waits and weaves,
A silent world, where shadows breathe."
Pied Beauty,Religious Awe,"A world of dapple, a beauty rare,
A patchwork quilt, of heaven's design so fair,
A rainbow's splendor, a glory to see,
A pied beauty, that's wild and free."
The House on the Hill,Despair,"A house stands empty, a soul gone grey,
A heart that's broken, a life astray,
The wind whispers secrets, the trees lean in,
A house of sorrow, where hope gives in."
Poetry,Metapoetry,"Words that dance, a rhythm so fine,
A poem's magic, a world that's divine,
A language of dreams, a heart that beats,
A poetry that's alive, in every repeat."
The Windhover,Spirituality,"A kestrel's flight, a windhover's ride,
A mastery of air, a spirit inside,
A heart that's soaring, a soul that's free,
A windhover's beauty, for me to see."
We Wear the Mask,Deception,"Faces hidden, behind masks we wear,
A disguise that's worn, a secret to share,
A smile that's painted, a heart that's cold,
A deception played, a story untold."
The Listeners,Mystery,"A traveler's call, in a forest deep,
A silence that answers, a mystery to keep,
The listeners wait, with ears so fine,
A world of whispers, a secret divine."
