Title,Poem,Category
The Arrow and the Song,"An arrow flies, a song takes flight,
Through whispered winds and golden light.
No hand to guide, no voice to steer,
Yet both find home, both find ear.",Communication
Crossing the Bar,"The sun dips low, the tide draws near,
A final voyage, void of fear.
Beyond the bar, the stars align,
In twilight's hush, we say goodbye.",Farewell
Design,"A spider's web, a moth's last dance,
In nature's grip, a fleeting chance.
A pattern woven, fate's design,
In every thread, a hidden sign.",Symbolism
The Peace of Wild Things,"Amidst the woods, the wild things play,
Their peace a balm, their chaos at bay.
In rustling leaves, in streams so clear,
I find my calm, I lose my fear.",Solace
My Heart Leaps Up,"A rainbow arcs, a child's delight,
My heart leaps up, a joy so bright.
In colors bold, in skies so wide,
I find my bliss, my heart's true guide.",Joy
Daddy,"In shadows deep, in whispers low,
A tale of love, a tale of woe.
A father's ghost, a daughter's plea,
In every word, a part of me.",Confession
Fire-Caught,"A spark ignites, a flame takes hold,
In colors bold, in stories told.
A canvas bright, a soul set free,
In every stroke, a part of me.",Artistic Spirit
A Bronzeville Mother Loiters...,"A mother waits, her heart in pain,
For justice lost, for love in vain.
In streets so cold, in nights so long,
She seeks the truth, she seeks the wrong.",Justice
Theme for English B,"In ink and page, in black and white,
A tale of self, a tale of fight.
In every word, in every line,
I find my voice, I find my sign.",Racial Identity
A Blessing,"Two ponies stand, their manes aflame,
In fields of gold, in peace they came.
A moment still, a breath so light,
In their calm, I find my sight.",Peace
To Be of Use,"With hands so strong, with hearts so true,
We toil and sweat, we see it through.
In every task, in every chore,
We find our worth, we find our core.",Work Ethic
Abou Ben Adhem,"A name inscribed, a heart so pure,
In love's embrace, in faith secure.
In every deed, in every prayer,
We find our grace, we find our care.",Compassion
London,"In streets so grim, in air so foul,
A city's heart, a city's howl.
In every brick, in every stone,
A tale of loss, a tale of groan.",Urban Decay
Song of Myself (excerpt),"I sing my song, I tell my tale,
In every word, in every detail.
In every breath, in every beat,
I find my self, I find my seat.",Self
The Tropics in New York,"In fruits so sweet, in scents so bright,
A taste of home, a touch of light.
In every bite, in every smell,
I find my past, I find my tell.",Homesickness
The Voice,"A voice so soft, a whisper low,
A love once lost, a heart's deep woe.
In every sigh, in every tear,
I find my grief, I find my fear.",Grief
Hymn to Intellectual Beauty,"In thoughts so deep, in dreams so wide,
A quest for truth, a heart's true guide.
In every star, in every sky,
I find my faith, I find my why.",Philosophy
